Name,Acronyms,Address,Founded,Motto,WorldRank,CountryRank,Tel,Fax
Aalborg Universitet,AAU, Fredrik Bajers Vej 7K Ålborg  9220 North Denmark Region,1974,Learning seriously affects your brain,619,5, +45 9940 9940, +45 9815 1522
Aalborg Universitet,AAU, Fredrik Bajers Vej 7K Ålborg  9220 North Denmark Region,1974,Learning seriously affects your brain,619,5, +45 9940 9940, +45 9815 1522
Aalborg Universitet,AAU, Fredrik Bajers Vej 7K Ålborg  9220 North Denmark Region,1974,Learning seriously affects your brain,619,5, +45 9940 9940, +45 9815 1522
Aalborg Universitet,AAU, Fredrik Bajers Vej 7K Ålborg  9220 North Denmark Region,1974,Learning seriously affects your brain,619,5, +45 9940 9940, +45 9815 1522
Aalborg Universitet,AAU, Fredrik Bajers Vej 7K Ålborg  9220 North Denmark Region,1974,Learning seriously affects your brain,619,5, +45 9940 9940, +45 9815 1522
Aalborg Universitet,AAU, Fredrik Bajers Vej 7K Ålborg  9220 North Denmark Region,1974,Learning seriously affects your brain,619,5, +45 9940 9940, +45 9815 1522
Aalborg Universitet,AAU, Fredrik Bajers Vej 7K Ålborg  9220 North Denmark Region,1974,Learning seriously affects your brain,619,5, +45 9940 9940, +45 9815 1522
Aalborg Universitet,AAU, Fredrik Bajers Vej 7K Ålborg  9220 North Denmark Region,1974,Learning seriously affects your brain,619,5, +45 9940 9940, +45 9815 1522
Aalborg Universitet,AAU, Fredrik Bajers Vej 7K Ålborg  9220 North Denmark Region,1974,Learning seriously affects your brain,619,5, +45 9940 9940, +45 9815 1522
Aalborg Universitet,AAU, Fredrik Bajers Vej 7K Ålborg  9220 North Denmark Region,1974,Learning seriously affects your brain,619,5, +45 9940 9940, +45 9815 1522
Aalborg Universitet,AAU, Fredrik Bajers Vej 7K Ålborg  9220 North Denmark Region,1974,Learning seriously affects your brain,619,5, +45 9940 9940, +45 9815 1522
Aalborg Universitet,AAU, Fredrik Bajers Vej 7K Ålborg  9220 North Denmark Region,1974,Learning seriously affects your brain,619,5, +45 9940 9940, +45 9815 1522
Aalborg Universitet,AAU, Fredrik Bajers Vej 7K Ålborg  9220 North Denmark Region,1974,Learning seriously affects your brain,619,5, +45 9940 9940, +45 9815 1522
Aalborg Universitet,AAU, Fredrik Bajers Vej 7K Ålborg  9220 North Denmark Region,1974,Learning seriously affects your brain,619,5, +45 9940 9940, +45 9815 1522
Aalborg Universitet,AAU, Fredrik Bajers Vej 7K Ålborg  9220 North Denmark Region,1974,Learning seriously affects your brain,619,5, +45 9940 9940, +45 9815 1522
Aalborg Universitet,AAU, Fredrik Bajers Vej 7K Ålborg  9220 North Denmark Region,1974,Learning seriously affects your brain,619,5, +45 9940 9940, +45 9815 1522
